(1677, 4430, 7544, 12232, 14442)
(2691, 184, 0, 184)
(30909, 140, 0, 140)
(2700, 129, 0, 129)
(13317, 128, 0, 128)
(86017, 125, 2, 123)
(118, 123, 1, 122)
(47782, 113, 0, 113)
(83136, 112, 2, 110)
(86015, 101, 2, 99)
(20856, 99, 1, 98)
(2498, 89, 1, 88)
(7747, 87, 0, 87)
(18200, 85, 1, 84)
(25672, 77, 0, 77)
(33781, 69, 0, 69)
(5026, 68, 0, 68)
(33780, 65, 0, 65)
(23130, 61, 0, 61)
(3191, 61, 0, 61)
(29129, 57, 0, 57)
(89639, 49, 0, 49)
(14226, 47, 0, 47)
(25811, 47, 0, 47)
(26457, 45, 1, 44)
(1097, 44, 0, 44)
(7477, 44, 0, 44)
(29783, 42, 0, 42)
(26205, 41, 0, 41)
(17336, 40, 0, 40)
(2356, 40, 0, 40)
(3398, 39, 0, 39)
(27497, 38, 1, 37)
(114783, 37, 0, 37)
(21457, 36, 0, 36)
(88065, 35, 0, 35)
(41293, 35, 0, 35)
(9722, 35, 0, 35)
(30850, 34, 0, 34)
(26318, 33, 0, 33)
(92220, 33, 0, 33)
(12386, 32, 0, 32)
(114620, 33, 1, 32)
(11609, 31, 0, 31)
(17606, 31, 0, 31)
(6605, 30, 0, 30)
(130, 30, 0, 30)
(35717, 30, 0, 30)
(30728, 30, 0, 30)
(1194, 29, 0, 29)
(23225, 28, 0, 28)
(78830, 28, 0, 28)
(89635, 27, 0, 27)
(80380, 26, 0, 26)
(23812, 25, 0, 25)
(70581, 25, 0, 25)
(33917, 24, 0, 24)
(6128, 24, 0, 24)
(112769, 23, 0, 23)
(22350, 22, 0, 22)
(101590, 22, 0, 22)
(7911, 22, 0, 22)
(33803, 22, 1, 21)
(31591, 21, 0, 21)
(30729, 21, 0, 21)
(86039, 28, 8, 20)
(14416, 20, 0, 20)
(33566, 20, 0, 20)
(13494, 20, 0, 20)
(14219, 19, 0, 19)
(32377, 19, 0, 19)
(90012, 19, 0, 19)
(114628, 19, 0, 19)
(11727, 19, 0, 19)
(4362, 20, 1, 19)
(5358, 19, 0, 19)
(12900, 18, 0, 18)
(17633, 18, 0, 18)
(10295, 18, 0, 18)
(43403, 18, 0, 18)
(46419, 18, 0, 18)
(93598, 18, 0, 18)
(58241, 18, 0, 18)
(26, 25, 7, 18)
(27965, 18, 0, 18)
(31088, 18, 0, 18)
(38432, 18, 0, 18)
(14928, 18, 0, 18)
(13983, 17, 0, 17)
(41326, 17, 0, 17)
(70822, 17, 0, 17)
(65866, 17, 0, 17)
(6933, 17, 0, 17)
(12036, 17, 0, 17)
(35190, 16, 0, 16)
(96556, 16, 0, 16)
(24324, 16, 0, 16)
(652, 16, 0, 16)
(26534, 16, 0, 16)
(13992, 16, 0, 16)
(17513, 17, 1, 16)
(30749, 16, 0, 16)
(31241, 16, 0, 16)
(20455, 16, 0, 16)
(22012, 16, 0, 16)
(109710, 16, 0, 16)
(29682, 16, 0, 16)
(60504, 16, 0, 16)
(6923, 16, 0, 16)
(2281, 16, 0, 16)
(13429, 16, 0, 16)
(39082, 16, 0, 16)
(31825, 15, 0, 15)
(90155, 15, 0, 15)
(72242, 15, 0, 15)
(16174, 16, 1, 15)
(93099, 15, 0, 15)
(40791, 15, 0, 15)
(37386, 14, 0, 14)
(29122, 15, 1, 14)
(30153, 14, 0, 14)
(38295, 14, 0, 14)
(658, 14, 0, 14)
(18609, 14, 0, 14)
(66268, 14, 0, 14)
(15134, 14, 0, 14)
(20560, 14, 0, 14)
(17570, 14, 0, 14)
(49530, 16, 2, 14)
(36326, 14, 0, 14)
(5311, 15, 1, 14)
(6786, 14, 0, 14)
(35752, 13, 0, 13)
(62699, 13, 0, 13)
(30466, 13, 0, 13)
(95106, 13, 0, 13)
(109390, 13, 0, 13)
(22572, 14, 1, 13)
