,rate,real,comment,like,dislike,nick,nicknum,date
10,9,1,º° »ý°¢¾øÀÌ ±×³É º¸±â¿¡ º¼¸¸ÇØ¿ä ¤»¤» ³ª¸§ ¿ô±â±âµµÇÏ°í  ,105,73,LEEjh(ljhm****),13352748,['2017.11.02 14:07']
11,10,1,¸¶ºí¸®¶«¿¡ ºÃ´Âµ¥ ÀÇ¿Ü·Î ÀÌÇÏ´ÌÇÑÅ× ºüÁü¤» ¿äÁò ÀÌ·± ¿µÈ­ °íÆÍ´Âµ¥ ¿À·£¸¸¿¡ °¡º­¿î ¸¶À½À¸·Î ÀëÀÖ°Ô º¸¾Ò¾î¿ä  ,74,51,¿ìÄð¿ìÄð¿ìÄð·¼·¹(actr****),13354513,['2017.11.02 23:10']
12,10,1,¸¶ºí¸® ¿ì¿Õ±» ³ÑÀç¹Ì½ö  ÀÌÇÏ´ÌÀÌ»½  ,77,58,Á¤Ã¢ÈÆ³²(ckdg****),13353597,['2017.11.02 19:07']
13,2,1,ÁøÂ¥ ¿µÈ­º¸´Â³»³» ÀÌ°Ô ¿Ö ÆòÁ¡ÀÌ ³ôÀºÁö ÀÌÇØÇÒ¼ö°¡¾ø¾ú´Ù Áø½É....Á¹°í¸¸¿Ô´Ù  ,29,12,È£À×ÀÏ(yye9****),13372070,['2017.11.08 18:10']
14,7,1,¸¶µ¿¼®°úÀÌµ¿ÈÖ ¾È¿ô±äµíÀÌ¿ô°Ü¿ä. ¾Æ¹«ÀÏ¾ø´Ù´Âµí´ÉÃ»½º·¯¿î¿¬±âÀç¹ÌÀÖ¾î¿ä.ÀßºÃ¾î¿ä  ,61,44,¹Ì³×¸£(137m****),13352895,['2017.11.02 15:08']
15,7,1,Àç¹Ì·Î º¸±â¿¡ ÁÁ¾Æ¿ä ±×³É±×³É Å³¸²Å¸ÀÓ¿ë ÀÌ·±·ùÀÇ ¿µÈ­µé(?) Áß¿¡¼­µµ b±Þ ´À³¦. ¸¶µ¿¼® ¹öÇÁ Á¦´ë·Î Å¸³×¿ä ¿µÈ­°¡  ,30,14,³¯»ç¶ûÇØ(sooy****),13355432,['2017.11.03 06:21']
16,7,1,±â´ë¾øÀÌ °¡º±°Ô ºÁ¾ß¸¸ º¼ ¼ö ÀÖ´Ù.Á¦¹ý ÅÍÁö´Â ÄÚ¹Í¿ä¼Ò´Â ÀÖ´Ù.  ,36,21,È¯Å¸Áö¼º(9893****),13354064,['2017.11.02 21:33']
17,10,1,¿ô°ä´Ù°¡ °øÆ÷¿³´Ù°¡ ½½Æá´Ù°¡ Àç¹ÌÀÖ¾ú¾î¿è  ,27,13,ÀÌ ÇØ¼º(dlek****),13364215,['2017.11.05 16:22']
18,10,1,Àç¹Õ¾î¿ä ¤¾¤¾ °¡º±°Ôº¸±â ÁÁÀº¿µÈ­  ,24,11,ÀÌ³ª¶ó(2naa****),13362223,['2017.11.05 01:26']
19,9,1,¿ô±â±âµµÇÏ°í °¨µ¿µµÀÖ¾ú¾î¿ä.¸¶µ¿¼® ÀÌµ¿ÈÖÄÉ¹Ì³Ê¹«±Í¿©¿ö¿ä  ,21,10,¿ì¼±°æ(zbxl****),13364163,['2017.11.05 16:11']
20,10,1,ÀÛÇ°¼ºÀ» Á¶±Ý¸¸ ´õ ¿Ã·ÁÁÖ¾ú´Ù¸é ÇÏ´Â »ý°¢ÀÌ µé±äÇÏÁö¸¸ Àç¹ÌÀÖ³×¿ä  ,16,6,¹Ú¿äÇÑ(byhl****),13356463,['2017.11.03 15:53']
21,9,1,ÄÚ¹ÌµðÀûÀÎ ¿ä¼Ò°¡ ¸¹¾Ñ¾î¿ä. ´öºÐ¿¡ ºÎ´ã¾øÀÌ °ü¶÷Çß½À´Ï´Ù.  ,17,7,¼Ò¶Ë°¡¸®(bumg****),13364091,['2017.11.05 15:53']
22,10,1,Àç¹Õ¾ú¾î¿ä!!! Æ¯È÷ ¸¶Áö¸· Àå¸é¶§¹®¿¡¶óµµ nÂ÷ÂïÀ¸·¯°¨¤»¤»¤»  ,17,7,chio****,13356865,['2017.11.03 18:02']
23,9,1,³Ê¹« ¿ô°Ü¼­ ´«¹°±îÁö ³µ¾î¿ä~!¤»¤»¤»¤» °¨µ¿ Æ÷ÀÎÆ®µµ ÀÖ±¸¿äÀç¹Õ¾î¿ä ~ÃßÃµ  ,19,9,¿¬a(sung****),13361783,['2017.11.04 23:40']
24,10,1,ÄÚ¹Í °¨µ¿ µÎ¸¶¸®Åä³¢¸¦ ´ÙÀâÀº¿µÈ­  ,18,10,¿ì»ê(jyn1****),13364258,['2017.11.05 16:35']
25,10,1,ÁøÂ¥ »§»§ ÅÍÁö¸é¼­ ¿ô´Ù°¡ °¨µ¿¹Þ¾Æ ¿ï´Ù°¡ ÁöÃ¢¿í ¾ó±¼·Î ±âºÐÁÁ°Ô Èú¸µÇÏ°í ³ª¿ÔÀ½.. ´ë¹ÚÀÓ ¤»¤»¤»¤»  ,18,10,ÇÇ³ëÄÚ(pino****),13356912,['2017.11.03 18:15']
26,10,1,°¨µ¿ Àç¹Ì! µÎ°³ ´Ù ¸ðµÎ ¸¸Á¡ÀÎ ¿µÈ­!!  ,18,10,½ÅÁ¤È­(jeon****),13354999,['2017.11.03 01:03']
27,1,1,Àç¹Ìµµ ¾ø°í °¨µ¿µµ ¾ø°í...  ,21,13,¶Ë±ÛÀÌ(mong****),13365323,['2017.11.05 21:23']
28,8,1,¹Ï°íº¸´Â ¸¶µ¿¼®. ¿ô±ä ¿µÈ­ÀÎ ÁÙ¸¸ ¾Ë¾Ò´Âµ¥ ±Þ°¨µ¿..  ,9,2,¸ÇÀ¯´Â ¿µ¿øÇÏ´Ù(djds****),13362235,['2017.11.05 01:29']
29,10,1,¸¶ºí¸®°¡ ´ë¼¼Áö!!!¤»¤»¤»¤» ¿ª½Ã ½Ç¸Á½ÃÅ°Áö ¾ÊÚ  ,11,4,ÅäÅä¿Í ¾ËÇÁ·¹µµ(gius****),13357009,['2017.11.03 18:50']
30,6,1,¾öÃ»³ª°Ô °è¼Ó ¿ô±âÁø ¾Ê´õ¶ó±¸¿ä...ÀÌÇÏ´Ì¾¾°¡ ¿ÏÀü ¹ÝÀüÀÌ¿´´Âµ¥ È£·¯¹°ÀÎÁÙ ¾Ë¾Ò...¾î¿ä ¤»¤»¤»  ,12,5,¾ÈÁøÁÖ(anji****),13357773,['2017.11.03 22:37']
31,1,1,¿µÈ­º¸´Â³»³» ¹«Ç¥Á¤À¸·Îº½^^±×Áß 50ºÐÀº ÀãÀ½¤¼¤¼¤»¤»ÇÏ..  ,17,10,»ÍÀÌ(qhal****),13364992,['2017.11.05 20:01']
32,10,1,Àç¹ÌÀÖ°Ôº¸°í¿Ô½À´Ï´Ù  ,7,1,rkde****,13379886,['2017.11.11 13:06']
33,10,1,¿ÏÀü ²Ù¿ì¿ïÀë!!ÀÌµ¿ÈÖ+ÀÌÇÏ´Ì 3¸í Á¶ÇÕÀÌ ÃÖ°í¿´´Ù!!!  ,11,5,TwinkleMin(hyoj****),13356893,['2017.11.03 18:10']
34,1,1,¾î°ÅÁö ¿ôÀ½ Àë ¾ø¾ú³×¿ä¤Ì¤Ì  ,14,8,ÁúÁÖ(pokz****),13365781,['2017.11.05 23:12']
35,10,1,¾Æ¹« »ý°¢¾øÀÌ º¸´Ù°¡ °©ÀÚ±â µ¹¾Æ°¡½Å ºÎ¸ð´Ô»ý°¢¿¡ ¿ïÄÀÇØ¼­....  ,14,8,½´ÆÛ¸¶¹Ì(0903****),13356198,['2017.11.03 13:55']
36,10,1,³Ê¹« Àç¹Ô°Ô ÀßºÃ¾î¿ä~ ¿ª½Ã ¸¶ºí¸® ¿ì¸®¸¦ ½Ç¸Á½ÃÅ°Áö ¾Ê³×¿ë! °£¸¸¿¡ Àç¹Ô°Ô º¸°í ¿Ô¾î¿ä^^ ÁÖ¸»ÀÌ¶ó »ç¶÷µµ ¾öÃ» ¸¹³×¿© ¤¾  ,6,1,¸Å·Â³à(mhyo****),13380722,['2017.11.11 18:04']
37,10,1,Àç¹Ì+½º¸±+°¨µ¿ ³Ê¹«ÁÁ¾Æ¿ä~~µÑ¿¡ Ä³¹Ìµµ Àå³­¾Æ´Ï¿¹¿ä¤Ì!!  ,6,1,Çö¿µ¼­(y125****),13379931,['2017.11.11 13:21']
38,1,1,Áø½É º¸´Â ³»³» ³ª°¡°í½Í¾ú´Ù  ,7,2,°­´Ù¿µ(dy74****),13377280,['2017.11.10 13:40']
39,7,1,°¨µ¿°ú Àç¹Ì µÑ ´Ù ¸¸Á·½º·´°Ô ºÃ½À´Ï´Ù .  ,8,3,ÃÖÀ¯Áø(ghfk****),13362418,['2017.11.05 02:31']
40,10,1,Ã³À½ºÎÅÍ ³¡±îÁö ¿ôÀ½À» ÀÒÁö ¾Ê´Â ÄÚ¹Ìµð¿´¾î¿ä. ¸¶Áö¸·¿£ ÂôÇÑ °¨µ¿±îÁö ÀÖ¾î¼­ ´«¹°ÀÌ ÇÎ¤Ð¤Ð °¡Á·ÀÌ¶û º¸±â ³Ê¹« ÁÁÀº ¿µÈ­°°¾Æ¿ä °­Ãß!  ,8,3,wmf3****,13357762,['2017.11.03 22:35']
41,9,1,Àë¾¸~~~~º¸¼¼¿ä~~  ,9,4,soud****,13361801,['2017.11.04 23:43']
42,10,1,Àç¹Ô´Ù °¨µ¿µµ ÇÔ²²¸¶µ¿¼® ´ÙµÈ´Ù~~^^±Ùµ¥ ¸Ó¸®°¡ ¾È´ê´Â´Ù~¤¾¤¾  ,11,6,ds05****,13357983,['2017.11.03 23:29']
43,5,1,¹üÁËµµ½Ã¶§¹®¿¡ ³Ê¹« ±â´ëÇØ¼­ºÃ¾î¿ä...¤Ð¤Ð  ,4,0,¼ÕÇÏ¼º(noo7****),13386188,['2017.11.13 07:43']
44,10,1,Àç¹ÌÀÖ¾î¿ä Àç¹ÌÀÖÀ½ Àç¹ÌŸç¤¤¾î  ,4,0,½º¾ËÀÌ(myzk****),13383541,['2017.11.12 14:07']
45,1,1,º¸´ÙÀä¾î¿ä À¸ÈÞ¿ì¿ì¤Ð  ,4,0,±è´ëÈ£(gheo****),13374857,['2017.11.09 17:06']
46,1,1,³ëÀë³ëÀë³ëÀë³ëÀë³ëÀë³ëÀë ¿ôÀ½ °¨µ¿ ¸ðµÎ ³õÄ£ ¿µÈ­  ,5,1,¾ÈÇý¿ø(0111****),13399925,['2017.11.17 14:38']
47,10,1,³ª°¡¶ó°íÇÏÁö¸¶¾Æ¾Æ¾Æ!  ,5,1,skql****,13387422,['2017.11.13 19:26']
48,10,1,¿ÏÀü ²ÜÀë!!!!ÃÖ±Ù¿¡ º» ÄÚ¹Ìµð¿µÈ­ Áß¿£ Á© ±Â  ,5,1,À¯¹ÎÂ¯(yuma****),13380178,['2017.11.11 14:57']
49,10,1,ÀëÀÖ°í °¨µ¿ÀûÀÎ ÀÌ¾ß±â  ,5,1,´ëÇÑ¹Î±¹(mygo****),13380029,['2017.11.11 14:03']
50,10,1,¾Æ~ ¿À·£¸¸¿¡ ¿ô´Ù°¡ ¿ï¾î¹ö·È³×...Å«ÀÏ³µ´Ù... ¾Æ...¾îÂ¼Áö...  ,5,1,kimi****,13379990,['2017.11.11 13:51']
51,10,1,¿ôÀ½°ú ´«¹°ÀÌ °øÁ¸ÇÏ´Â ¿µÈ­...¸¶Áö¸·¿¡ ÈÆÈÆÇÑ °¨µ¿±îÁö...³Ê¹« Àß ºÃ¾î¿ä  ,5,1,ÇÏ´Ì¹Ù¶÷(west****),13379901,['2017.11.11 13:11']
52,3,1,¿ÏÀü Àë ¾ø³×¿ä µ·¾Æ±î¿ö ÁøÂ¥ Àë ¾ø³×  ,5,1,jeong79(isw7****),13374486,['2017.11.09 14:43']
53,5,1,±×³É ±×·°Àú·° º¼ ¸¸ÇÑ ¿µÈ­  ,5,1,dydr****,13371069,['2017.11.08 06:46']
54,5,1,±â´ëÇÑ¸¸Å­ Àç¹ÔÁö´Â ¾Ê¾Ñ¾î¿ä  ,5,1,tkdr****,13369323,['2017.11.07 14:50']
55,10,1,Àç¹Õ¾î¿ä. »ý°¢¾øÀÌ ±×³É º¸¸éµÇ¿ä.¤»¤»  ,5,1,ÆäÆä·¹ÀÌ½Å(mdev****),13361666,['2017.11.04 23:16']
56,10,1,Àç¹ÌÀÖ°í °¨µ¿ÀûÀÌ°Ô ”f¾î¿ä~~~  ,5,1,egg(egg8****),13360649,['2017.11.04 19:10']
57,9,1,ÀÎ¹° ¿¬±â·Â Â¯ÀÔ´Ï´Ù.  ,5,1,·¡È£(reho****),13355944,['2017.11.03 12:31']
58,10,1,µÎ¹ø ¼¼¹ø ºÁµµ µ·¾Æ ¾Æ±õÁö ¾ÊÀº ¿µÈ­¿¡¿ä Àç¹Õ°Ô Àß ºÃ½À´Ï´Ù~  ,6,2,¹è¹ÎÁö(mig1****),13380006,['2017.11.11 13:55']
59,6,1,À½ ¾öÃ» Àç¹Õ´Ù°íÇØ¼­ ±â´ëÇÏ°í ºÃ´Âµ¥ ±×³É ¸¶µ¿¼®ÀÌ¶û ÀÌµ¿ÈÖ ¾Öµå¸³Ä¡´Â°Ô ±×³É  Àç¹ÌÀÖÀ»»Ó  ½ºÅä¸®´Â Á¤¸» ³Ê¹«  µÚÁ×¹ÚÁ×  °©ÀÚ±â  ºÎ¸ð´ÔÇÑÅ× °¨»çÇÏ°Ô µÇ´Â ´«¹°¿µÈ­°¡µÊ ¤Ð¤Ð  Çã¸Á  ³¡±îÁö Àç¹Õ¾úÀ¸¸é ÁÁ¾ÒÀ»ÅÙµ¥... ±×·¡µµ µ·Àº ¾Æ±õÁö ¾ÊÀ½  ,6,2,¼Õº¸Çö(dlqm****),13369642,['2017.11.07 17:14']
60,1,1,½Ã°£°¡´ÂÁÙ ¾Ë°í ºÃ½À´Ï´Ù  ,7,3,²ó¿ì(dsco****),13387893,['2017.11.13 23:23']
61,10,1,¾ÆÁÖ¾ÆÁÖ Àë ÀÖ¾î¿ä...  ,7,3,»þ¹æ»þ¹æ(dudd****),13357544,['2017.11.03 21:50']
62,5,1,¸¶ºí¸® ¹üÁËµµ½Ã º¸±¸ ¹Ï±¸ ºÃ´Âµ¥ º¸´Â³»³» µ· ¾Æ±õ´Ü »ý°¢ ÇßÀ½ Áß°£ Áß°£ ÇÇ½Ä Á¤µµ ¿ô´Â ºÎºÐ ÀÖÀ½ ÀÌÇÏ´Ì¾¾µµ ¿Ö³ª¿À´ÂÁö Àß¸ð¸£°ÚÀ½ ¶Ç °³¿¬¼º ¾ø´Â ¿£µù ¾ïÁö°¨µ¿  ,8,4,ÀÌ¼³(ww64****),13371450,['2017.11.08 12:14']
63,3,1,´Ùµé Àç¹Õ´Ù°í ÇØ¼­ ºÃ´Âµ¥ ´çÈ²½º·¯¿ò  ,9,5,Çý»Ú´Ï(mimi****),13364497,['2017.11.05 17:41']
64,10,1,±×³Éº¼¸¸ÇÏ³×¿äÀç¹Õ¾î¿©¤¾  ,9,5,¶×¶ì(wkat****),13358045,['2017.11.03 23:46']
65,10,1,Àç¹Õ°í ¸¶µ¿¼® ±Í¿©¿ö¿ä!!  ,9,5,¸®Ä¡·¯ºê(dbsk****),13356970,['2017.11.03 18:34']
66,9,1,°¡º±°Ô ¿ôÀ¸¸ç ºÃ¾î¿ä ¤»¤»  ,10,6,ÃÖ¿øÈ£(whes****),13358472,['2017.11.04 01:57']
67,8,1,Àç¹ÌÁü ¸¶µ¿¼® ÄÚ¹Ìµð ¾î¿ï¸²¤¾  ,10,6,ÇÑ½ÂÇÑ(tmdg****),13357889,['2017.11.03 23:05']
68,10,1,¤»¤»¤»¸¶µ¿¼® ÁøÂ¥ ³Ê¹« ¿ô±è¤Ð¤Ð ¹üÁËµµ½Ã¿¡¼­µµ Â¯ ¿ô°å´Âµ¥ ÀÌ¹ø¿¡µµ ÇÏµåÄ³¸® ¿ÀÁø´Ù ¿ÀÁ®  ,10,6,ÇÇ³ëÅ°¿À(hyel****),13356937,['2017.11.03 18:23']
69,10,1,Àç¹ÕÀ½¤¾¤¾ 1Á¡ÁÖ´Â ¾Öµé¶«¿¡ ¸¸¶¥Ã¤¿öÁØ´Ù¤·  ,11,7,adsfdasf(cmhg****),13359196,['2017.11.04 11:47']
70,8,1,°¡º±°Ô º¸½Ã¸éµË´Ï´Ù.Àç¹ÌÀÖ³×¿ä  ,12,8,bluestory(acid****),13358359,['2017.11.04 01:18']
71,10,1,¿µÈ­ º¸´Â ³»³» ¿ô¾î¼­ ¹è ¾ÆÆÄ Á×°Ú´Ù¤»¤»¤» ¸¶µ¿¼® ÀÌÁ¦ ¹Ï°íº¸´Â ¹è¿ì µî±Ø¤»¤»¤»  ,13,9,½é½éÈý(ssss****),13356978,['2017.11.03 18:36']
72,5,1,¸¶µ¿¼®ÀÌ ³ª¿À´Â ¿µÈ­¶ó¼­ºÃ´Âµ¥ ¿ª½Ã³ª Àç¹Õ¾ú¾î¿ä º¼¸¸ÇÕ´Ï´ç~ Æ¯È÷ ÇÏ´Ì¾ð´Ï ¿ÏÀüÀÌ»Ý¤Ð¤Ð ¿¬±âµµÀßÇÏ°í Á¸¿¹¤¾¤¾  ,17,13,½ÅÈ¿¼º(gytj****),13354914,['2017.11.03 00:39']
73,7,1,¹üÁËµµ½Ã°¡ ´õ ÀëÀÖ¾î¿ä  ,3,0,rock****,13391076,['2017.11.15 12:49']
74,9,1,±â´ë ¾ÈÇÏ°í ºÃ´Âµ¥ ¹ÝÀüµµ ÀÖ°í Àç¹Õ¾úÀ½  ,3,0,½ºÄ«Ã¼(haji****),13389122,['2017.11.14 16:55']
75,10,1,Á¤¸»Á¤¸» ¸¶µ¿¼®ÆÒÀÌ¿´´Âµ¥ ¿µÈ­·Î ¶Ç Á¢ÇØ¼­ ³Ê¹«³Ê¹« ÁÁ¾Ò½À´Ï´Ù  ,3,0,dnsq****,13389104,['2017.11.14 16:44']
76,8,1,³Ê¹« Àç¹ÌÀÖ°Ô Àß ºÃ½À´Ï´Ù  ,3,0,°í¿µ(goye****),13389004,['2017.11.14 15:42']
77,10,1,Àç¹Õ¾ú¾î¿ä~~~~!!  ,3,0,¿ø(kitt****),13388944,['2017.11.14 15:05']
78,7,1,¹¹±×³É ¤» º¼¸¸ÇØ¿ë ¹ÝÀüÀÌÀÖ±äÇßÁö¸¸ ¾àÇß¾î¿ä ¤»  ,3,0,»êº»µÎ°³ÀÇ½ÉÀå(kth9****),13387169,['2017.11.13 16:53']
79,6,1,º°·ç³×¿ä °¨Èïµµ ¾ø°í ¾×¼Çµµ ¾ø°í ÄÚ¹Íµµ ¾ø°í ±×³É ±×·¨±Þ´Ï´Ù  ,3,0,·çºñ(h_to****),13387006,['2017.11.13 15:29']
80,10,1,³Ê¹« Àç¹Ô°Ô Àß ºÃ½À´Ï´Ù!  ,3,0,qora****,13383884,['2017.11.12 15:56']
81,9,1,Àû´çÈ÷Àç¹Õ°í Àû´çÈ÷ ÀÜÀÜÇÑ.  ,3,0,kim0****,13383756,['2017.11.12 15:10']
82,8,1,À¯ÄèÇÏ°í Çàº¹ÇÑ ¿µÈ­ÀÔ´Ï´Ù  ,3,0,coin****,13383658,['2017.11.12 14:41']
83,8,1,¾î´ÀÁý¿¡³ª ÀÖÀ»¹ýÇÑ °¡Á·ÀÌ¾ß±â Á¦¹ÌÀÖ°³ ÀßºÃ¾î¿ä  ,3,0,µ¶»ç(ehrw****),13383616,['2017.11.12 14:29']
84,10,1,·¹¾Ë ¿ô´Ù°¡ ¿ï´Ù°¡ ¿À½ÏÇÞ´Ù°¡ ±×·§´Ù. ±×³É Á´¸» ´ë¹ÚÀÌ¿³´Ù ½Ã°£°¡´ÂÁÙµµ ¸ð¸£°í º» ¿µÈ­.  ,3,0,Áö¿øÁö¿ø(suna****),13383605,['2017.11.12 14:24']
85,8,1,Àç¹Ìµµ ÀÖ°í ³ª¸§ °¨µ¿µµ ÀÖ°í  ,3,0,jae_****,13383518,['2017.11.12 14:00']
86,10,1,¿ª½Ã ¸¶µ¿¼®Çà´Ô Â¯ÀÔ´Ï´Ù  ,3,0,slay****,13383492,['2017.11.12 13:53']
87,10,1,¿µÈ­ºÎ¶ó´õ´ÂÇüÁ¦¾Ö¿ÍºÎ¸ð´Ô»ç¶ûÀÌ´À°ÜÁ®´Ù  ,3,0,¹®º´¼ö(mbs1****),13383469,['2017.11.12 13:47']
88,10,1,¹üÁËµµ½Ãº¸´Ù´Â¾Æ´ÏÁö¸¸ ²ÜÀëÀÓ ¤»¤»  ,3,0,sooh****,13383447,['2017.11.12 13:41']
89,10,1,¿ª½Ã....°¨ÅºÇÒ¸¸ÇÏ°í Àç¹Õ¾î¿ä!!  ,3,0,±èÂÞ²Ù(rlaw****),13382804,['2017.11.12 07:44']
90,7,1,½ºÅä¸®°¡ Á¶±Ý ¾Æ½¬¿ü¾î¿ä.Á¶±×¸¶ÇÑ °¨µ¿ÀÌÀÖ³×¿ä.  ,3,0,qwas****,13379828,['2017.11.11 12:32']
91,7,1,Àß ºÃ½À´Ï´Ù ÀßºÃ½À´Ï´Ù  ,3,0,lemo****,13377838,['2017.11.10 17:56']
92,8,1,¿ô°ä´Ù½º¸±·¯¿³´Ù½½Æá´ÙÇÔ  ,3,0,wa00****,13377837,['2017.11.10 17:56']
93,3,1,¿µÈ­µÎ ¤KµÎ ºñ½Ñ¹è¿ì¾²°í ºÐ·®ÀÌ Ã³·®ÇÏ³×¿ä  ,3,0,rhwj****,13375947,['2017.11.09 23:01']
94,7,1,À¯Ä¡ÇÑ‰V »ý°¢¾øÀÌ Áñ±â±â ±¦Ãá  ,3,0,adoooooo(yong****),13369868,['2017.11.07 19:04']
95,8,1,Àç¹ÌÀÖ°Ô º¸¾Ò½À´Ïµð¤¿  ,3,0,ykki****,13356362,['2017.11.03 15:02']
96,1,1,³ëÀç¾ÚÁøÂ¥º°·ÎÀç¹Ì¾ø¾î  ,4,1,940627(jch0****),13395814,['2017.11.16 14:03']
97,10,1,"Áñ°Ì°Ô ºÃ½À´Ï´Ù Á¶±Ý»·ÇÏÁö¸¸ ÀÜÀÜÇÑ°¨µ¿, ÇüÁ¦ÀÇ ÄÉ¹Ì°¡ µ¸º¸ÀÌ´Â ¿µÈ­  ",4,1,ÀåÇö¿µ(hy_8****),13388841,['2017.11.14 14:01']
98,10,1,¸¶ºí¸®´Â ³ª¸¦ ½Ç¸Á½ÃÅ°Áö ¾Ê¾Ò¾î  ,4,1,jjhd****,13388811,['2017.11.14 13:38']
99,10,1,Ã³À½¿¡ ÀÌ°Ô ¹º ³»¿ëÀÎ°¡ ÇÏ´Ù°¡ ¸¶Áö¸·¿¡ ¾ö¸¶¶û Æã Æã ¿ï¾ú³×¿ä  ,4,1,¹Ù±×³×(p_e_****),13388747,['2017.11.14 12:53']
100,10,1,Áö·çÇÏÁö¾Ê°í Àç¹Ô°Ô Àß ºÃ¾î¿ä !  ,4,1,³ë³ë(no_n****),13388555,['2017.11.14 10:33']
101,9,1,À½ ±×³É Æí¾ÈÇÏ°Ô º¼ ¼ö ÀÖ´ø ¿µÈ­..?ÀÌÇÏ´Ì°¡ Á© ±â¾ï¿¡ ³²¾Æ¿ä¤»¤»  ,4,1,yjooooooooo(2yoo****),13387098,['2017.11.13 16:15']
102,10,1,Àá±ñ ½ºÃÄÁö³ª°¡µí ³ª¿À´Â ÁöÃ¢¿í´Ô ´öºÐ¿¡ ¿ô°í°¡¿ä  ,4,1,Á»ºñÂô(dmsq****),13382872,['2017.11.12 08:48']
103,10,1,Àç¹Õ°í °¨µ¿ÀÌÀÖ°í Àßº»°Å°°¾Æ¿ä!  ,4,1,ÈçÇÑ»ç¶÷(k2j1****),13382270,['2017.11.12 01:14']
104,10,1,¸¶µ¿¼®°ú ÀÌµ¿ÈÖÀÇ ÄÉ¹Ì°¡ µ¸º¸ÀÌ´Â ¿µÈ­  ,4,1,Hyeon young KIM(a0a0****),13381643,['2017.11.11 22:34']
105,10,1,¸¶µ¿¼® µ¿ÈÖ ÄÉ¹Ì ¿ÀÁö±¸¿ä Áö¸®±¸¿ä  ,4,1,ÀÌ»ÑÀïÀÌ(kcm3****),13381210,['2017.11.11 20:41']
